id,corrected_outcome,corrected_failure_type,corrected_suggested_recovery,corrected_summary_to_history,reviewer_note
BrowserMaze_inst0_seed3308742614_step3,failure,wrong_page,retry,The previous navigate_back left Chrome setup and returned to the file list; retry opening task.html and complete Chrome setup correctly.,Final audit: navigate_back from Chrome welcome does not progress the browser task.
BrowserMaze_inst0_seed3308742614_step13,failure,wrong_page,retry,The previous navigate_back left Chrome setup and returned to Downloads; retry opening task.html and complete Chrome setup correctly.,Final audit: navigate_back from Chrome welcome does not progress the browser task.
BrowserDraw_inst0_seed1466251684_step7,failure,wrong_target,retry,The previous navigate_back dismissed the correct Open with Chrome dialog; retry opening task.html and choose Chrome.,Final audit: leaving the app chooser cancels the correct path.
BrowserDraw_inst0_seed1466251684_step8,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Files and task.html instead of pressing back again.,Final audit: recovery should not suggest navigate_back from home.
BrowserMaze_inst0_seed3308742614_step5,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Files and task.html instead of pressing back again.,Final audit: recovery should not suggest navigate_back from home.
BrowserMaze_inst0_seed3308742614_step14,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Files and task.html instead of pressing back again.,Final audit: recovery should not suggest navigate_back from home.
CameraTakePhoto_inst0_seed3729977769_step3,failure,wrong_target,navigate_back,The previous action opened a video preview instead of taking a photo; navigate back to Camera and press the Shutter button.,Final audit: summary now matches after_ui video preview.
CameraTakePhoto_inst0_seed3729977769_step7,failure,wrong_page,retry,The previous navigate_back exited Camera to the home screen; reopen Camera and use the shutter to take a photo.,Final audit: recovery should not suggest navigate_back from home.
CameraTakePhoto_inst0_seed3729977769_step12,failure,wrong_page,retry,The previous navigate_back exited Camera to the home screen; reopen Camera and use the shutter to take a photo.,Final audit: recovery should not suggest navigate_back from home.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step3,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: recovery should not suggest navigate_back from home.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step5,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: standardized home-screen recovery.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step8,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: recovery should not suggest navigate_back from home.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step16,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: exiting to home is not progress for this gallery task.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step26,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: recovery should not suggest navigate_back from home.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step37,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: exiting to home is not progress for this gallery task.
ExpenseAddMultipleFromGallery_inst0_seed1284149777_step39,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Simple Gallery Pro and locate expenses.jpg.,Final audit: recovery should not suggest navigate_back from home.
FilesDeleteFile_inst0_seed1206130099_step4,failure,popup_blocking,close_dialog,The previous action opened the overflow menu instead of the target file; close the menu and select q2a8_fancy_banana.mp3.,Final audit: after_ui is a blocking overflow menu.
FilesDeleteFile_inst0_seed1206130099_step7,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Files and return to the Notifications folder.,Final audit: recovery should not suggest navigate_back from home.
FilesMoveFile_inst0_seed4058110435_step10,failure,wrong_page,retry,The previous navigate_back exited to the home screen; reopen Files and continue the file move task.,Final audit: recovery should not suggest navigate_back from home.
ExpenseDeleteMultiple2_inst0_seed2988130770_step4,progress,none,continue,The previous scroll revealed Pet Supplies and the MORE control; continue selecting target expenses for deletion.,Final audit: before_after UI shows useful progress rather than no effect.
MarkorCreateNote_inst0_seed1448135622_step4,progress,none,continue,The previous navigate_back returned to the file creation dialog; continue confirming the note creation.,Final audit: before_after UI changed from type menu back to the creation dialog.
MarkorCreateNote_inst0_seed1448135622_step7,done,none,complete_task,The note has the required name and content after saving; the task is complete.,Final audit: after_ui shows the required note name and text.
MarkorCreateNoteAndSms_inst0_seed3221046986_step7,progress,none,continue,The previous action saved the note content; continue sharing it by SMS.,Final audit: save is useful before sharing even though UI is visually unchanged.
MarkorCreateNoteFromClipboard_inst0_seed1852838440_step8,done,none,complete_task,The note has the required name and pasted content after saving; the task is complete.,Final audit: after_ui shows the required note name and pasted content.
MarkorTranscribeReceipt_inst0_seed3711863373_step2,failure,wrong_page,retry,The previous action went to the home screen and left the receipt image; reopen Simple Gallery Pro or return to the receipt before transcribing.,Final audit: recovery should not suggest navigate_back from home.
AudioRecorderRecordAudioWithFileName_inst0_seed170855541_step2,progress,none,continue,The previous action opened the main recording screen with the configured format; continue recording and renaming the audio file.,Final audit: after_ui is the expected recorder screen rather than a wrong page.
ClockTimerEntry_inst0_seed1172248264_step2,no_effect,no_effect,retry,Opening the Timer app did not change the home screen; retry opening the correct timer app.,Final audit: before_after UI remained on home so navigate_back is not useful.
ClockTimerEntry_inst0_seed1172248264_step5,no_effect,no_effect,retry,Opening the Timer app did not change the home screen; retry opening the correct timer app.,Final audit: before_after UI remained on home so navigate_back is not useful.
ClockTimerEntry_inst0_seed1172248264_step9,no_effect,no_effect,retry,Opening the Timer app did not change the home screen; retry opening the correct timer app.,Final audit: before_after UI remained on home so navigate_back is not useful.
ClockTimerEntry_inst0_seed1172248264_step14,no_effect,no_effect,retry,Opening the Timer app did not change the home screen; retry opening the correct timer app.,Final audit: before_after UI remained on home so navigate_back is not useful.
OsmAndFavorite_inst0_seed2436087218_step4,progress,none,continue,The previous action showed the searched coordinates on the map; continue adding the favorite marker.,Final audit: after_ui is a map canvas with little accessible text rather than a wrong page.
OsmAndFavorite_inst0_seed2436087218_step9,progress,none,continue,The previous action showed the searched coordinates on the map; continue adding the favorite marker.,Final audit: after_ui is a map canvas with little accessible text rather than a wrong page.
OsmAndFavorite_inst0_seed2436087218_step13,progress,none,continue,The previous action showed the searched coordinates on the map; continue adding the favorite marker.,Final audit: after_ui is a map canvas with little accessible text rather than a wrong page.
OsmAndFavorite_inst0_seed2436087218_step17,progress,none,continue,The previous action showed the searched coordinates on the map; continue adding the favorite marker.,Final audit: after_ui is a map canvas with little accessible text rather than a wrong page.
OsmAndMarker_inst0_seed182743914_step4,progress,none,continue,The previous action showed Planken on the map; continue adding the location marker.,Final audit: after_ui is a map canvas with little accessible text rather than a wrong page.
